year,name,age,gender,worth,rank,source,industry,wealth_acquistion,country,wealth_status
2018,Jeff Bezos,54,Male,112,1,Amazon,Technology,self_made,United States,No Previous Record
2018,Bill Gates,62,Male,90,2,Microsoft,Technology,self_made,United States,No Previous Record
2018,Warren Buffett,87,Male,84,3,Berkshire Hathaway,Finance and Investments,self_made,United States,No Previous Record
2018,Bernard Arnault,69,Male,72,4,LVMH,Fashion & Retail,self_made,France,No Previous Record
2018,Mark Zuckerberg,33,Male,71,5,Facebook,Technology,No Info,United States,No Previous Record
2018,Amancio Ortega,81,Male,70,6,Zara,Fashion & Retail,No Info,Spain,No Previous Record
2018,Carlos Slim Helu,78,Male,67.1,7,telecom,Telecom,No Info,Mexico,No Previous Record
2018,Charles Koch,82,Male,60,8,Koch Industries,Diversified,No Info,United States,No Previous Record
2018,David Koch,77,Male,60,8,Koch Industries,Diversified,No Info,United States,No Previous Record
2018,Larry Ellison,73,Male,58.5,10,software,Technology,No Info,United States,No Previous Record
2018,Michael Bloomberg,76,Male,50,11,Bloomberg LP,Media & Entertainment,No Info,United States,No Previous Record
2018,Larry Page,44,Male,48.8,12,Google,Technology,No Info,United States,No Previous Record
2018,Sergey Brin,44,Male,47.5,13,Google,Technology,No Info,United States,No Previous Record
2018,Jim Walton,69,Male,46.4,14,Walmart,Fashion & Retail,No Info,United States,No Previous Record
2018,S. Robson Walton,73,Male,46.2,15,Walmart,Fashion & Retail,No Info,United States,No Previous Record
2018,Alice Walton,68,Female,46,16,Walmart,Fashion & Retail,No Info,United States,No Previous Record
2018,Ma Huateng,46,Male,45.3,17,internet media,Technology,No Info,China,No Previous Record
2018,Francoise Bettencourt Meyers,64,Female,42.2,18,L'Oreal,Fashion & Retail,No Info,France,No Previous Record
2018,Mukesh Ambani,60,Male,40.1,19,"petrochemicals, oil & gas",Energy,No Info,India,No Previous Record
2018,Jack Ma,53,Male,39,20,e-commerce,Technology,No Info,China,No Previous Record
2018,Sheldon Adelson,84,Male,38.5,21,casinos,Gambling & Casinos,No Info,United States,No Previous Record
2018,Steve Ballmer,61,Male,38.4,22,Microsoft,Technology,No Info,United States,No Previous Record
2018,Li Ka-shing,89,Male,34.9,23,diversified,Diversified,No Info,Hong Kong,No Previous Record
2018,Hui Ka Yan,59,Male,30.3,24,real estate,Real Estate,No Info,China,No Previous Record
2018,Lee Shau Kee,90,Male,30.3,24,real estate,Real Estate,No Info,Hong Kong,No Previous Record
2018,Wang Jianlin,63,Male,30,26,real estate,Real Estate,No Info,China,No Previous Record
2018,Beate Heister & Karl Albrecht Jr.,66,Family,29.8,27,supermarkets,Fashion & Retail,No Info,Germany,No Previous Record
2018,Phil Knight,80,Male,29.6,28,Nike,Fashion & Retail,No Info,United States,No Previous Record
2018,Jorge Paulo Lemann,78,Male,27.4,29,beer,Food and Beverage,No Info,Brazil,No Previous Record
2018,Francois Pinault,81,Male,27,30,luxury goods,Fashion & Retail,No Info,France,No Previous Record
2018,Georg Schaeffler,53,Male,25.3,31,auto parts,Automotive,No Info,Germany,No Previous Record
2018,Susanne Klatten,55,Female,25,32,"BMW, pharmaceuticals",Automotive,No Info,Germany,No Previous Record
2018,David Thomson,60,Male,25,32,media,Media & Entertainment,No Info,Canada,No Previous Record
2018,Jacqueline Mars,78,Female,23.6,34,"candy, pet food",Food and Beverage,No Info,United States,No Previous Record
2018,John Mars,82,Male,23.6,34,"candy, pet food",Food and Beverage,No Info,United States,No Previous Record
2018,Joseph Safra,79,Male,23.5,36,banking,Finance and Investments,No Info,Brazil,No Previous Record
2018,Giovanni Ferrero,53,Male,23,37,"Nutella, chocolates",Food and Beverage,No Info,Italy,No Previous Record
2018,Dietrich Mateschitz,73,Male,23,37,Red Bull,Food and Beverage,No Info,Austria,No Previous Record
2018,Michael Dell,53,Male,22.7,39,Dell computers,Technology,No Info,United States,No Previous Record
2018,Masayoshi Son,60,Male,22.7,39,"internet, telecom",Telecom,No Info,Japan,No Previous Record
2018,Serge Dassault,92,Male,22.6,41,diversified,Diversified,No Info,France,No Previous Record
2018,Stefan Quandt,51,Male,22,42,BMW,Automotive,No Info,Germany,No Previous Record
2018,Yang Huiyan,36,Female,21.9,43,real estate,Real Estate,No Info,China,No Previous Record
2018,Paul Allen,65,Male,21.7,44,"Microsoft, investments",Technology,No Info,United States,No Previous Record
2018,Leonardo Del Vecchio,82,Male,21.2,45,eyeglasses,Fashion & Retail,No Info,Italy,No Previous Record
2018,Dieter Schwarz,78,Male,20.9,46,retail,Fashion & Retail,No Info,Germany,No Previous Record
2018,Thomas Peterffy,73,Male,20.3,47,discount brokerage,Finance and Investments,No Info,United States,No Previous Record
2018,"Theo Albrecht, Jr.",67,Male,20.2,48,"Aldi, Trader Joe's",Fashion & Retail,No Info,Germany,No Previous Record
2018,Len Blavatnik,60,Male,20.2,48,diversified,Diversified,No Info,United States,No Previous Record
2018,He Xiangjian,75,Male,20.1,50,home appliances,Manufacturing,No Info,China,No Previous Record
2018,Lui Che Woo,88,Male,20.1,50,casinos,Gambling & Casinos,No Info,Hong Kong,No Previous Record
2018,James Simons,79,Male,20,52,hedge funds,Finance and Investments,No Info,United States,No Previous Record
2018,Henry Sy,93,Male,20,52,diversified,Diversified,No Info,Philippines,No Previous Record
2018,Elon Musk,46,Male,19.9,54,Tesla Motors,Automotive,No Info,United States,No Previous Record
2018,Hinduja family,64,Male,19.5,55,diversified,Diversified,No Info,United Kingdom,No Previous Record
2018,Tadashi Yanai,69,Male,19.5,55,fashion retail,Fashion & Retail,No Info,Japan,No Previous Record
2018,Vladimir Lisin,61,Male,19.1,57,"steel, transport",Metals & Mining,No Info,Russia,No Previous Record
2018,Laurene Powell Jobs,54,Female,18.8,58,"Apple, Disney",Philanthropy/NGO,No Info,United States,No Previous Record
2018,Azim Premji,72,Male,18.8,58,software services,Technology,No Info,India,No Previous Record
2018,Alexey Mordashov,52,Male,18.7,60,"steel, investments",Metals & Mining,No Info,Russia,No Previous Record
2018,Lee Kun-Hee,76,Male,18.6,61,Samsung,Diversified,No Info,South Korea,No Previous Record
2018,Lakshmi Mittal,67,Male,18.5,62,steel,Metals & Mining,No Info,India,No Previous Record
2018,Wang Wei,48,Male,18.2,63,package delivery,Service,No Info,China,No Previous Record
2018,Leonid Mikhelson,62,Male,18,64,"gas, chemicals",Energy,No Info,Russia,No Previous Record
2018,Charoen Sirivadhanabhakdi,73,Male,17.9,65,"drinks, real estate",Food and Beverage,No Info,Thailand,No Previous Record
2018,Pallonji Mistry,88,Male,17.8,66,construction,Construction & Engineering,No Info,Ireland,No Previous Record
2018,Ray Dalio,68,Male,17.7,67,hedge funds,Finance and Investments,No Info,United States,No Previous Record
2018,Takemitsu Takizaki,72,Male,17.5,68,sensors,Manufacturing,No Info,Japan,No Previous Record
2018,William Ding,46,Male,17.4,69,online games,Technology,No Info,China,No Previous Record
2018,R. Budi Hartono,77,Male,17.4,69,"banking, tobacco",Finance and Investments,No Info,Indonesia,No Previous Record
2018,Gina Rinehart,64,Female,17.4,69,mining,Metals & Mining,No Info,Australia,No Previous Record
2018,German Larrea Mota Velasco,64,Male,17.3,72,mining,Metals & Mining,No Info,Mexico,No Previous Record
2018,Carl Icahn,82,Male,16.8,73,investments,Finance and Investments,No Info,United States,No Previous Record
2018,Stefan Persson,70,Male,16.8,73,H&M,Fashion & Retail,No Info,Sweden,No Previous Record
2018,Michael Hartono,78,Male,16.7,75,"banking, tobacco",Manufacturing,No Info,Indonesia,No Previous Record
2018,Joseph Lau,66,Male,16.7,75,real estate,Real Estate,No Info,Hong Kong,No Previous Record
2018,Thomas & Raymond Kwok,64,Male,16.5,77,real estate,Real Estate,No Info,Hong Kong,No Previous Record
2018,Vagit Alekperov,67,Male,16.4,78,oil,Energy,No Info,Russia,No Previous Record
2018,James Ratcliffe,65,Male,16.4,78,chemicals,Manufacturing,No Info,United Kingdom,No Previous Record
2018,Donald Bren,85,Male,16.3,80,real estate,Real Estate,No Info,United States,No Previous Record
2018,Iris Fontbona,75,Female,16.3,80,mining,Metals & Mining,No Info,Chile,No Previous Record
2018,Gennady Timchenko,65,Male,16,82,"oil, gas",Energy,No Info,Russia,No Previous Record
2018,Abigail Johnson,56,Female,15.9,83,money management,Finance and Investments,No Info,United States,No Previous Record
2018,Vladimir Potanin,57,Male,15.9,83,metals,Metals & Mining,No Info,Russia,No Previous Record
2018,Lukas Walton,31,Male,15.9,83,Walmart,Fashion & Retail,No Info,United States,No Previous Record
2018,Charlene de Carvalho-Heineken,63,Female,15.8,86,Heineken,Food and Beverage,No Info,Netherlands,No Previous Record
2018,Zhang Zhidong,46,Male,15.6,87,internet media,Technology,No Info,China,No Previous Record
2018,Petr Kellner,53,Male,15.5,88,banking,Finance and Investments,No Info,Czech Republic,No Previous Record
2018,Andrey Melnichenko,46,Male,15.5,88,"coal, fertilizers",Energy,No Info,Russia,No Previous Record
2018,David & Simon Reuben,64,Male,15.5,88,"investments, real estate",Real Estate,No Info,United Kingdom,No Previous Record
2018,Klaus-Michael Kuehne,80,Male,15.3,91,shipping,Logistics,No Info,Germany,No Previous Record
2018,Li Shufu,54,Male,15.3,91,automobiles,Automotive,No Info,China,No Previous Record
2018,Mikhail Fridman,53,Male,15.1,93,"oil, banking, telecom",Energy,No Info,Russia,No Previous Record
2018,Rupert Murdoch,86,Male,15,94,"newspapers, TV network",Media & Entertainment,No Info,United States,No Previous Record
2018,Dhanin Chearavanont,78,Male,14.9,95,diversified,Diversified,No Info,Thailand,No Previous Record
2018,Robert Kuok,94,Male,14.8,96,"palm oil, shipping, property",Diversified,No Info,Malaysia,No Previous Record
2018,Emmanuel Besnier,47,Male,14.7,97,cheese,Food and Beverage,No Info,France,No Previous Record
2018,Shiv Nadar,72,Male,14.6,98,software services,Technology,No Info,India,No Previous Record
2018,Viktor Vekselberg,60,Male,14.4,99,"metals, energy",Energy,No Info,Russia,No Previous Record
2018,Aliko Dangote,60,Male,14.1,100,"cement, sugar, flour",Manufacturing,No Info,Nigeria,No Previous Record
2018,Harold Hamm,72,Male,14.1,100,oil & gas,Energy,No Info,United States,No Previous Record
2018,Steve Cohen,61,Male,14,102,hedge funds,Finance and Investments,No Info,United States,No Previous Record
2018,Dustin Moskovitz,33,Male,14,102,Facebook,Technology,No Info,United States,No Previous Record
